Regularity	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Archaic	Archaic	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Defective	Defective	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive	Irregular	Irregular	Defective	Defective	Defective	Defective	Defective	Defective	Defective	Suppletive	Suppletive	Irregular	Suppletive	Irregular	Irregular	Irregular	Suppletive	Irregular	Suppletive	Suppletive	Suppletive	Suppletive	Irregular	Irregular	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive
Class number	Class 1	Class 2	Class 3	Class 4	Subset of Class 3	Subset of Class 4	Class 5	Class 6	Class 7	Class 8	Class 9	Class 10	Class 11	Class 12	Class 13	Class 14	Class 15	Class 16	Class 19	Class 20	Class 21	Class 22	Class 23	Class 23	Class 24	Class 24	Class 25	Class 25	Class 26 (includes 44)	Class 26 (same as 44)	Class 27	Class 27	Class 28	Class 29	Class 30	Class 31	Class 32	Class 33	Class 34	Class 35	Class 36	Class 37	Class 38	Class 39	Class 40	Class 41	Class 42	Class 43	Class 45	Class 46	Class 47	Class 48	Class 49	Class 50	Class 51	Class 52	Class 53	Class 54	Class 55	Class 56	Class 57	Class 58
Example lemma	երգել	քաղել	ապրիլ	խօսիլ	ածիլուիլ	զզուիլ	աղալ	կարդալ	արտահեղուլ	թողուլ	աճեցնել	մօտեցնել	ուսուցանել	ծանուցանել	անցնիլ	մեռնիլ	երկնչիլ	կպչիլ	ամչնալ	նիհարնալ	երդնուլ	զբօսնուլ	իջնել	իջնալ	գտնել	գտնալ	ելլել	ելլալ	դպչիլ	դպիլ	կրնամ	կարենալ	երեւիլ	ունիմ	գիտեմ	կամ	է	ըլլալ	գալ	լալ	տալ	արտաբերել	բերել	անդրադառնալ	դառնալ	առնել	բանալ	դնել	երթալ	զարնել	զիջիլ	ընդունիլ	ընել	ըսել	թքնել	իյնալ	խածնել	խաղալ	մնալ	նստիլ	ուտել	տանիլ
Example stem	<X> = երգ	<X> = քաղ	<X> = ապր	<X> = խօս	<X> = ածիլ	<X> = զզ	<X> = աղ	<X> = կարդ	<X> = արտահեղ	<X> = թող	<X> = աճե	<X> = մօտե	<X> = ուսուց	<X> = ծանուց	<X> = անց	<X> = մեռ	<X> = երկն	<X> = կպ	<X> = ամչ	<X> = նիհար	<X> = երդ	<X> = զբօս	<X> = իջ	<X> = իջ	<X> = գտ	<X> = գտ	<Xprs> = ելլ, <Xpst> = ել	<Xprs> = ելլ, <Xpst> = ել	<X> = դպ	<X> = դպ	<X> = կր	<X> = կարե	<X> = երեւ	<X> = ուն	<X> = գիտ	<X> = կ	ե	<Xprs> = ըլլ, <Xpst> = եղ	<Xprs> = գ, <Xpst> = եկ	<X> = լ	<Xprs> = տ, <Xpst> = տու	<X> = արտաբեր	<X> = բեր	<Xprs> = անդրադառն, <Xpst> = անդրադարձ	<Xprs> = դառն,<Xpst> =  դարձ	<X> = առ	<Xprs> = բան,<Xpst> = բաց	<Xprs> = դն,<Xpst> =  դր, <Ximp> = դ	<Xprs> = երթ, <Xpst> = գ, <Xps3> = գն	<Xprs> = զարն, <Xpst> = զարկ	<X> = զիջ	<X> = ընդուն	<Xprs> = ըն, <Xpst> = ըր	<X> = ըս	<Xbasic> = թք, <Ximp> = թուք	<Xprs> = իյն, <Xpst> = ինկ	<X> = խած	<X> = խաղ	<X> = մն	<X> = նստ	<Xprs> = ուտ, <Xpst> = կեր	<Xprs> = տան, <Xpst> = տար
evidential participle	<X>եր	<X>եր	<X>եր	<X>եր	<X>ուեր	<X>ուեր	<X>ացեր	<X>ացեր	<X>եր, <X>ուցեր	<X>եր, <X>ուցեր	<X>ցուցեր	<X>ցուցեր	<X>եր	<X>եր	<X>եր	<X>եր			<X>ցեր	<X>ցեր	<X>ուեր	<X>ուեր	<X>եր	<X>եր	<X>եր	<X>եր	<Xpst>եր	<Xpst>եր	<X>եր	<X>եր	<X>ցեր							<Xpst>եր	<Xpst>եր	<X>ացեր	<Xpst>եր	<X>եր	<X>եր	<Xpst>եր	<Xpst>եր	<X>եր	<Xpst>եր	<Xpst>եր	<Xpst>ացեր	<Xpst>եր	<X>եր	<X>եր	<Xpst>եր	<X>եր	<Xbasic>եր	<Xpst>եր	<X>եր	<X>ցեր	<X>ացեր	<X>եր	<Xpst>եր	<Xpst>եր
future participle	<X>ելու	<X>ելու	<X>ելու	<X>ելու	<X>ուելու	<X>ուելու	<X>ալու	<X>ալու	<X>ելու	<X>ելու	<X>ցնելու	<X>ցնելու	<X>անելու	<X>անելու	<X>նելու	<X>նելու	<X>չելու	<X>չելու	<X>նալու	<X>նալու	<X>նելու	<X>նելու	<X>նելու	<X>նալու	<X>նելու	<X>նալու	<Xprs>ելու	<Xprs>ալու	<X>չելու	<X>ելու		<X>նալու	<X>ելու					<Xprs>ալու	<Xprs>ալու	<X>ալու	<Xprs>ալու	<X>ելու	<X>ելու	<Xprs>ալու	<Xprs>ալու	<X>նելու	<Xprs>ալու	<Xprs>ելու	<Xprs>ալու	<Xprs>ելու	<X>ելու	<X>ելու	<Xprs>ելու	<X>ելու	<Xbasic>նելու	<Xprs>ալու	<X>նելու	<X>ալու	<X>ալու	<X>ելու	<Xprs>ելու	<Xprs>ելու
imperative 2pl	<X>եցէ՛ք	<X>եցէ՛ք	<X>եցէ՛ք	<X>եցէ՛ք	<X>ուեցէ՛ք	<X>ուեցէ՛ք	<X>ացէ՛ք	<X>ացէ՛ք	<X>եցէ՛ք, <X>է՛ք, <X>ուցէ՛ք	<X>եցէ՛ք, <X>է՛ք, <X>ուցէ՛ք	<X>ցուցէ՛ք	<X>ցուցէ՛ք	<X>է՛ք	<X>է՛ք	<X>է՛ք	<X>է՛ք	<X>է՛ք	<X>է՛ք	<X>ցէ՛ք	<X>ցէ՛ք	<X>ուէ՛ք	<X>նեցէ՛ք	<X>է՛ք	<X>է՛ք	<X>է՛ք	<X>է՛ք	<Xpst>է՛ք	<Xpst>է՛ք	<X>է՛ք	<X>է՛ք	<X>ցէ՛ք							<Xpst>է՛ք	<Xpst>է՛ք	<X>ացէ՛ք	<Xpst>է՛ք	<X>է՛ք	<X>է՛ք	<Xpst>է՛ք	<Xpst>է՛ք	<X>է՛ք	<Xpst>է՛ք	<Xpst>է՛ք	<Xpst>ացէ՛ք	<Xpst>է՛ք	<X>է՛ք	<X>եցէ՛ք	<Xpst>է՛ք	<X>է՛ք	<Xbasic>է՛ք	<Xpst>է՛ք	<X>է՛ք	<X>ացէ՛ք, <X>ցէ՛ք	<X>ացէ՛ք	<X>եցէ՛ք, <X>է՛ք	<Xpst>է՛ք	<Xpst>է՛ք
imperative 2sg	<X>է՛	<X>է՛	<X>ի՛ր, <X>է՛	<X>ի՛ր, <X>է՛	<X>ուէ՛, <X>ուի՛ր	<X>ուէ՛, <X>ուի՛ր	<X>ա՛	<X>ա՛	արտահե՛ղ, <X>ո՛ւ, <X>ո՛ւր	թո՛ղ, <X>ո՛ւ, <X>ո՛ւր	<X>ցո՛ւր	<X>ցո՛ւր	<X>ո՛ւր	<X>ո՛ւր	<X>ի՛ր	<X>ի՛ր	<X>է՛, <X>ի՛ր	<X>ի՛ր	<X>ցի՛ր	<X>ցի՛ր	<X>ուի՛ր	<X>նէ՛, <X>ի՛ր	<X>ի՛ր	<X>ի՛ր	<X>ի՛ր	<X>ի՛ր	<Xpst>ի՛ր, <Xpst>՛	<Xpst>ի՛ր, <Xpst>՛	<X>է՛, <X>ի՛ր	<X>է՛, <X>ի՛ր	<X>ցի՛ր							<Xpst>ի՛ր	<Xpst>ո՛ւր	<X>ա՛ց	<Xprs>ո՛ւր	<X>՛	<X>՛	<Xpst>ի՛ր	<Xpst>ի՛ր	<Xpst>՛	<Xpst>՛	<Ximp>ի՛ր	<Xps3>ա՛	<Xpst>՛	<X>է՛, <X>ի՛ր	<X>ի՛ր, <X>է՛	<Xpst>է՛	<X>է՛	<Xbasic>է՛, <Xbasic>ի՛ր, <Ximp>՛	<Xpst>ի՛ր	<X>ի՛ր,<X>՛	<X>ցի՛ր, <X>ա՛	<X>ացի՛ր, <X>ա՛	<X>է՛, <X>ի՛ր	<Xpst>՛	<Xpst>՛
indicative past 1pl	<X>եցինք	<X>եցինք	<X>եցանք	<X>եցանք	<X>ուեցանք	<X>ուեցանք	<X>ացինք	<X>ացինք	<X>ուցինք	<X>ուցինք, <X>ինք	<X>ցուցինք	<X>ցուցինք	<X>ինք	<X>ինք	<X>անք	<X>անք	<X>անք	<X>անք	<X>ցանք	<X>ցանք	<X>ուանք	<X>նեցինք	<X>անք	<X>անք	<X>անք	<X>անք	<Xpst>անք	<Xpst>անք	<X>անք	<X>անք	<X>ցանք							<Xpst>անք	<Xpst>անք	<X>ացինք	<Xpst>ինք	<X>ինք	<X>ինք	<Xpst>անք	<Xpst>անք	<X>ինք	<Xpst>ինք	<Xpst>ինք	<Xpst>ացինք	<Xpst>ինք	<X>անք	<X>եցանք, <X>եցինք	<Xpst>ինք	<X>ինք	<Xbasic>անք, <Xbasic>ինք	<Xpst>անք	<X>անք, <X>ինք	<X>ացինք, <X>ցանք	<X>ացինք	<X>եցանք, <X>անք	<Xpst>անք	<Xpst>ինք
indicative past 1sg	<X>եցի	<X>եցի	<X>եցայ	<X>եցայ	<X>ուեցայ	<X>ուեցայ	<X>ացի	<X>ացի	<X>ուցի	<X>ուցի, <X>ի	<X>ցուցի	<X>ցուցի	<X>ի	<X>ի	<X>այ	<X>այ	<X>այ	<X>այ	<X>ցայ	<X>ցայ	<X>ուայ	<X>նեցի	<X>այ	<X>այ	<X>այ	<X>այ	<Xpst>այ	<Xpst>այ	<X>այ	<X>այ	<X>ցայ							<Xpst>այ	<Xpst>այ	<X>ացի	<Xpst>ի	<X>ի	<X>ի	<Xpst>այ	<Xpst>այ	<X>ի	<Xpst>ի	<Xpst>ի	<Xpst>ացի	<Xpst>ի	<X>այ	<X>եցայ, <X>եցի	<Xpst>ի	<X>ի	<Xbasic>այ, <Xbasic>ի	<Xpst>այ	<X>այ, <X>ի	<X>ացի, <X>ցայ	<X>ացի	<X>եցայ, <X>այ	<Xpst>այ	<Xpst>ի
