Class number	Class 1	Class 2	Class 3	Class 4	Class 3	Class 4	Class 5	Class 6	Class 7	Class 8	Class 9	Class 10	Class 9	Class 10	Class 11	Class 12	Class 13	Class 14	Class 15	Class 16	Class 19	Class 20	Class 21	Class 22	Class 23	Class 23	Class 24	Class 24	Class 24	Class 24	Class 25	Class 25	Class 26	Class 27	Class 27	Class 28	Class 29	Class 30	Class 31	Class 32	Class 33	Class 34	Class 35	Class 36	Class 37	Class 38	Class 39	Class 40	Class 41	Class 42	Class 43	Class 44	Class 45	Class 46	Class 47	Class 48	Class 49	Class 50	Class 51	Class 52	Class 53	Class 54	Class 55	Class 56	Class 57	Class 58
Subclass			Basic	Basic	Passive	Passive					Basic	Basic	Orthographic variant with schwa	Orthographic variant with affricate											Theme -a-	Theme -e-	Theme -a-	Theme -e-	Bare imperative with theme -a-	Bare imperative with theme -e-	Theme -a-	Theme -e-		Long form	Short form																															
Regularity	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Archaic	Archaic	Regular	Regular	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Defective	Defective	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive	Irregular	Defective	Defective	Defective	Defective	Defective	Defective	Defective	Suppletive	Suppletive	Irregular	Suppletive	Irregular	Irregular	Suppletive	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Irregular	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive
Initial segment	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	V	C	C	C	C	V	V	C	C	C	V	V	C	C	V	V	C	C	C	V	C	V	C	V	C	C	C	V	C	C	V	V	V	C	V	C	C	C	C	V	C
Regular category	E-Class	E-Class	I-Class	I-Class	Passive	Passive	A-Class	A-Class			Causative	Causative	Causative	Causative							Inchoative	Inchoative																																												
Example lemma	erkel	kaɣel	abril	xosil	ad͡zilvil	puʒvil	aɣal	gartal	ardaheɣul	toɣul	ad͡ʒet͡snel	modet͡snel	ant͡sənel	tart͡snel	usut͡sanel	d͡zanut͡sanel	ant͡snil	mernil	ergnt͡ʃil	gbt͡ʃil	amt͡ʃnal	niharnal	ertnul	zposnul	it͡ʃnal	it͡ʃnel	kdnal	kdnel	desnal	desnel	ellal	ellel	tbt͡ʃil	garenal	grnam	erewil	unim	kidem	gam	em	əllal	kal	lal	dal	ardaperel	perel	antratarnal	tarnal	arnel	panal	tnel	tbil	ertal	zarnel	zit͡ʃil	əntunil	ənel	əsel	tknel	ijnal	xad͡znel	xaɣal	mnal	nsdil	udel	danil
Example stem	erk	kaɣ	abr	xos	ad͡zil	puʒ	aɣ	gart	ardaheɣ	toɣ	ad͡ʒe	mode	an	tar	usut͡s	d͡zanut͡s	ant͡s	mer	ergn	gb	amt͡ʃ	nihar	ert	zpos	it͡ʃ	it͡ʃ	kd	kd	des	des	ell, el	ell, el	tb	gare	gr	erew	un	kid	g	e	əll, eɣ	k, eg	l	d, du	ardaper	per	antratarn, antratart͡s	tarn, tart͡s	ar	pan, pat͡s	tn, tr, t	tb	ert, k, kn	zarn, zarg	zit͡ʃ	əntun	ən, ər	əs	tk, tuk	ijn, ing	xad͡z	xaɣ	mn	nsd	ud, ger	dan, dar
Affix	-el	-el	-il	-il	-vil	-vil	-al	-al	-ul	-ul	-t͡snel	-t͡snel	-t͡sənel	-t͡snel	-anel	-anel	-nil	-nil	-t͡ʃil	-t͡ʃil	-nal	-nal	-nul	-nul	-nal	-nel	-nal	-nel	-nal	-nel	-al	-el	-t͡ʃil	-nal	-nam	-il	-im	-em	-am	-m	-al	-al	-al	-al	-el	-el	-al	-al	-nel	-al	-el	-il	-al	-el	-il	-il	-el	-el	-nel	-al	-nel	-al	-al	-il	-el	-il
evidential participle	erker	kaɣer	abrer	xoser	ad͡zilver	puʒver	aɣat͡ser	gartat͡ser	ardaheɣer, ardaheɣut͡ser	toɣer, toɣut͡ser	ad͡ʒet͡sut͡ser	modet͡sut͡ser	ant͡sut͡ser	tart͡sut͡ser	usut͡ser	d͡zanut͡ser	ant͡ser	merer			amt͡ʃt͡ser	nihart͡ser	ertver	zposver	it͡ʃer	it͡ʃer	kder	kder	deser	deser	eler	eler	tber		grt͡ser						eɣer	eger	lat͡ser	dver	ardaperer	perer	antratart͡ser	tart͡ser	arer	pat͡ser	trer	tber	kat͡ser	zarger	zit͡ʃer	əntuner	ərer	əser	tker	inger	xad͡zer	xaɣt͡ser	mnat͡ser	nsder	gerer	darer
future participle	erkelu	kaɣelu	abrelu	xoselu	ad͡zilvelu	puʒvelu	aɣalu	gartalu	ardaheɣelu	toɣelu	ad͡ʒet͡snelu	modet͡snelu	ant͡sənelu	tart͡snelu	usut͡sanelu	d͡zanut͡sanelu	ant͡snelu	mernelu	ergnt͡ʃelu	gbt͡ʃelu	amt͡ʃnalu	niharnalu	ertnelu	zposnelu	it͡ʃnalu	it͡ʃnelu	kdnalu	kdnelu	desnalu	desnelu	ellalu	ellelu	tbt͡ʃelu	garenalu		erewelu					əllalu	kalu	lalu	dalu	ardaperelu	perelu	antratarnalu	tarnalu	arnelu	panalu	tnelu	tbelu	ertalu	zarnelu	zit͡ʃelu	əntunelu	ənelu	əselu	tknelu	ijnalu	xad͡znelu	xaɣalu	mnalu	nsdelu	udelu	danelu
imperative 2pl	erket͡se՛k	kaɣet͡se՛k	abret͡se՛k	xoset͡se՛k	ad͡zilvet͡se՛k	puʒvet͡se՛k	aɣat͡se՛k	gartat͡se՛k	ardaheɣet͡se՛k, ardaheɣe՛k, ardaheɣut͡se՛k	toɣet͡se՛k, toɣe՛k, toɣut͡se՛k	ad͡ʒet͡sut͡se՛k	modet͡sut͡se՛k	ant͡sut͡se՛k	tart͡sut͡se՛k	usut͡se՛k	d͡zanut͡se՛k	ant͡se՛k	mere՛k	ergne՛k	gbe՛k	amt͡ʃt͡se՛k	nihart͡se՛k	ertve՛k	zposnet͡se՛k	it͡ʃe՛k	it͡ʃe՛k	kde՛k	kde՛k	dese՛k	dese՛k	ele՛k	ele՛k	tbe՛k		grt͡se՛k						eɣe՛k	ege՛k	lat͡se՛k	dve՛k	ardapere՛k	pere՛k	antratart͡se՛k	tart͡se՛k	are՛k	pat͡se՛k	tre՛k	tbe՛k	kat͡se՛k	zarge՛k	zit͡ʃe՛k	əntunet͡se՛k	əre՛k	əse՛k	tke՛k	inge՛k	xad͡ze՛k	xaɣat͡se՛k, xaɣt͡se՛k	mnat͡se՛k	nsdet͡se՛k, nsde՛k	gere՛k	dare՛k
imperative 2sg	erke՛	kaɣe՛	abri՛r, abre՛	xosi՛r, xose՛	ad͡zilve՛, ad͡zilvi՛r	puʒve՛, puʒvi՛r	aɣa՛	garta՛	ardahe՛ɣ, ardaheɣu՛, ardaheɣu՛r	to՛ɣ, toɣu՛, toɣu՛r	ad͡ʒet͡su՛r	modet͡su՛r	ant͡su՛r	tart͡su՛r	usut͡su՛r	d͡zanut͡su՛r	ant͡si՛r	meri՛r	ergne՛, ergni՛r	gbi՛r	amt͡ʃt͡si՛r	nihart͡si՛r	ertvi՛r	zposne՛, zposi՛r	it͡ʃi՛r	it͡ʃi՛r	kdi՛r	kdi՛r	de՛s	de՛s	eli՛r, el՛	eli՛r, el՛	tbe՛, tbi՛r		grt͡si՛r						eɣi՛r	egu՛r	la՛t͡s	du՛r	ardape՛r	pe՛r	antratart͡si՛r	tart͡si՛r	a՛r	pa՛t͡s	ti՛r	tbe՛, tbi՛r	kna՛	za՛rg	zit͡ʃe՛, zit͡ʃi՛r	əntuni՛r, əntune՛	əre՛	əse՛	tke՛, tki՛r, tu՛k	ingi՛r	xad͡zi՛r, xa՛d͡z	xaɣt͡si՛r, xaɣa՛	mnat͡si՛r, mna՛	nsde՛, nsdi՛r	ge՛r	da՛r
indicative past 1pl	erket͡sink	kaɣet͡sink	abret͡sank	xoset͡sank	ad͡zilvet͡sank	puʒvet͡sank	aɣat͡sink	gartat͡sink	ardaheɣut͡sink	toɣut͡sink, toɣink	ad͡ʒet͡sut͡sink	modet͡sut͡sink	ant͡sut͡sink	tart͡sut͡sink	usut͡sink	d͡zanut͡sink	ant͡sank	merank	ergnank	gbank	amt͡ʃt͡sank	nihart͡sank	ertvank	zposnet͡sink	it͡ʃank	it͡ʃank	kdank	kdank	desank	desank	elank	elank	tbank		grt͡sank						eɣank	egank	lat͡sink	dvink	ardaperink	perink	antratart͡sank	tart͡sank	arink	pat͡sink	trink	tbank	kat͡sink	zargink	zit͡ʃank	əntunet͡sank, əntunet͡sink	ərink	əsink	tkank, tkink	ingank	xad͡zank, xad͡zink	xaɣat͡sink, xaɣt͡sank	mnat͡sink	nsdet͡sank, nsdank	gerank	darink
indicative past 1sg	erket͡si	kaɣet͡si	abret͡sa	xoset͡sa	ad͡zilvet͡sa	puʒvet͡sa	aɣat͡si	gartat͡si	ardaheɣut͡si	toɣut͡si, toɣi	ad͡ʒet͡sut͡si	modet͡sut͡si	ant͡sut͡si	tart͡sut͡si	usut͡si	d͡zanut͡si	ant͡sa	mera	ergna	gba	amt͡ʃt͡sa	nihart͡sa	ertva	zposnet͡si	it͡ʃa	it͡ʃa	kda	kda	desa	desa	ela	ela	tba		grt͡sa						eɣa	ega	lat͡si	dvi	ardaperi	peri	antratart͡sa	tart͡sa	ari	pat͡si	tri	tba	kat͡si	zargi	zit͡ʃa	əntunet͡sa, əntunet͡si	əri	əsi	tka, tki	inga	xad͡za, xad͡zi	xaɣat͡si, xaɣt͡sa	mnat͡si	nsdet͡sa, nsda	gera	dari
indicative past 2pl	erket͡sik	kaɣet͡sik	abret͡sak	xoset͡sak	ad͡zilvet͡sak	puʒvet͡sak	aɣat͡sik	gartat͡sik	ardaheɣut͡sik	toɣut͡sik, toɣik	ad͡ʒet͡sut͡sik	modet͡sut͡sik	ant͡sut͡sik	tart͡sut͡sik	usut͡sik	d͡zanut͡sik	ant͡sak	merak	ergnak	gbak	amt͡ʃt͡sak	nihart͡sak	ertvak	zposnet͡sik	it͡ʃak	it͡ʃak	kdak	kdak	desak	desak	elak	elak	tbak		grt͡sak						eɣak	egak	lat͡sik	dvik	ardaperik	perik	antratart͡sak	tart͡sak	arik	pat͡sik	trik	tbak	kat͡sik	zargik	zit͡ʃak	əntunet͡sak, əntunet͡sik	ərik	əsik	tkak, tkik	ingak	xad͡zak, xad͡zik	xaɣat͡sik, xaɣt͡sak	mnat͡sik	nsdet͡sak, nsdak	gerak	darik
indicative past 2sg	erket͡sir	kaɣet͡sir	abret͡sar	xoset͡sar	ad͡zilvet͡sar	puʒvet͡sar	aɣat͡sir	gartat͡sir	ardaheɣut͡sir	toɣut͡sir, toɣir	ad͡ʒet͡sut͡sir	modet͡sut͡sir	ant͡sut͡sir	tart͡sut͡sir	usut͡sir	d͡zanut͡sir	ant͡sar	merar	ergnar	gbar	amt͡ʃt͡sar	nihart͡sar	ertvar	zposnet͡sir	it͡ʃar	it͡ʃar	kdar	kdar	desar	desar	elar	elar	tbar		grt͡sar						eɣar	egar	lat͡sir	dvir	ardaperir	perir	antratart͡sar	tart͡sar	arir	pat͡sir	trir	tbar	kat͡sir	zargir	zit͡ʃar	əntunet͡sar, əntunet͡sir	ərir	əsir	tkar, tkir	ingar	xad͡zar, xad͡zir	xaɣat͡sir, xaɣt͡sar	mnat͡sir	nsdet͡sar, nsdar	gerar	darir
indicative past 3pl	erket͡sin	kaɣet͡sin	abret͡san	xoset͡san	ad͡zilvet͡san	puʒvet͡san	aɣat͡sin	gartat͡sin	ardaheɣut͡sin	toɣut͡sin, toɣin	ad͡ʒet͡sut͡sin	modet͡sut͡sin	ant͡sut͡sin	tart͡sut͡sin	usut͡sin	d͡zanut͡sin	ant͡san	meran	ergnan	gban	amt͡ʃt͡san	nihart͡san	ertvan	zposnet͡sin	it͡ʃan	it͡ʃan	kdan	kdan	desan	desan	elan	elan	tban		grt͡san						eɣan	egan	lat͡sin	dvin	ardaperin	perin	antratart͡san	tart͡san	arin	pat͡sin	trin	tban	kat͡sin	zargin	zit͡ʃan	əntunet͡san, əntunet͡sin	ərin	əsin	tkan, tkin	ingan	xad͡zan, xad͡zin	xaɣat͡sin, xaɣt͡san	mnat͡sin	nsdet͡san, nsdan	geran	darin
