Class number	Class 1	Class 2	Class 3	Class 4	Class 3	Class 4	Class 5	Class 6	Class 7	Class 8	Class 9	Class 10	Class 9	Class 10	Class 11	Class 12	Class 13	Class 14	Class 15	Class 16	Class 19	Class 20	Class 21	Class 22	Class 23	Class 23	Class 24	Class 24	Class 25	Class 25	Class 26	Class 27	Class 27	Class 28	Class 29	Class 30	Class 31	Class 32	Class 33	Class 34	Class 35	Class 36	Class 37	Class 38	Class 39	Class 40	Class 41	Class 42	Class 43	Class 44	Class 45	Class 46	Class 47	Class 48	Class 49	Class 50	Class 51	Class 52	Class 53	Class 54	Class 55	Class 56	Class 57	Class 58
Subclass			Basic	Basic	Passive	Passive					Basic	Basic	Orthographic variant with schwa	Orthographic variant with affricate											Theme -a-	Theme -e-	Theme -a-	Theme -e-	Theme -a-	Theme -e-		Long form	Short form																															
Regularity	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Archaic	Archaic	Regular	Regular	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Defective	Defective	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive	Irregular	Defective	Defective	Defective	Defective	Defective	Defective	Defective	Suppletive	Suppletive	Irregular	Suppletive	Irregular	Irregular	Irregular	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Irregular	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive
Initial segment	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	V	C	C	V	V	C	C	C	V	V	C	C	V	V	C	C	C	V	C	V	C	V	C	C	C	V	C	C	V	V	V	C	V	C	C	C	C	V	C
Regular category	E-Class	E-Class	I-Class	I-Class	Passive	Passive	A-Class	A-Class			Causative	Causative	Causative	Causative							Inchoative	Inchoative																																										
Example lemma	erkel	kaɣel	abril	xosil	ad͡zilvil	zzvil	aɣal	gartal	ardaheɣul	toɣul	ad͡ʒet͡snel	modet͡snel	ant͡sənel	tart͡snel	usut͡sanel	d͡zanut͡sanel	ant͡snil	mernil	ergnt͡ʃil	gbt͡ʃil	amt͡ʃnal	niharnal	ertnul	zposnul	it͡ʃnal	it͡ʃnel	kdnal	kdnel	ellal	ellel	tbt͡ʃil	garenal	grnam	erewil	unim	kidem	gam	em	əllal	kal	lal	dal	ardaperel	perel	antratarnal	tarnal	arnel	panal	tnel	tbil	ertal	zarnel	zit͡ʃil	əntunil	ənel	əsel	tknel	ijnal	xad͡znel	xaɣal	mnal	nsdil	udel	danil
Example stem	<X> = erk	<X> = kaɣ	<X> = abr	<X> = xos	<X> = ad͡zil	<X> = zz	<X> = aɣ	<X> = gart	<X> = ardaheɣ	<X> = toɣ	<X> = ad͡ʒe	<X> = mode	<X> = an	<X> = tar	<X> = usut͡s	<X> = d͡zanut͡s	<X> = ant͡s	<X> = mer	<X> = ergn	<X> = gb	<X> = amt͡ʃ	<X> = nihar	ert	zpos	<X> = it͡ʃ	<X> = it͡ʃ	<X> = kd	<X> = kd	<Xprs> = ell, <Xpst> = el	<Xprs> = ell, <Xpst> = el	<X> = tb	<X> = gare	<X> = gr	<X> = erew	<X> = un	<X> = kid	<X> = g	e	<Xprs> = əll, <Xst> = eɣ	<Xprs> = k, <Xst> = eg	<X> = l	<Xprs> = d, <Xpst> = du	<X> = ardaper	<X> = per	<Xprs> = antratarn, <Xpst> = antratart͡s	<Xprs> = tarn, <Xpst> = tart͡s	<X> = ar	<Xprs> = pan, <Xpst> = pat͡s	<Xprs> = tn, <Xpst> = tr, <Ximp> = t	<X> = tb	<Xprs> = ert, <Xpst> = k, <Xps3> = kn	<Xprs> = zarn, <Xpst> = zarg	<X> = zit͡ʃ	<X> = əntun	<Xprs> = ən, <Xpst> = ər	<X> = əs	<Xprs> = tk, <Ximp> = tuk	<Xprs> = ijn, <Xpst> = ing	<X> = xad͡z	<X> = xaɣ	<X> = mn	<X> = nsd	<Xprs> = ud, <Xpst> = ger	<Xprs> = dan, <Xpst> = dar
Affix	-el	-el	-il	-il	-vil	-vil	-al	-al	-ul	-ul	-t͡snel	-t͡snel	-t͡sənel	-t͡snel	-anel	-anel	-nil	-nil	-t͡ʃil	-t͡ʃil	-nal	-nal	-nul	-nul	-nal	-nel	-nal	-nel	-al	-el	-t͡ʃil	-nal	-nam	-il	-im	-em	-am	-m	-al	-al	-al	-al	-el	-el	-al	-al	-el	-al	-el	-il	-al	-el	-il	-il	-el	-el	-nel	-al	-nel	-al	-al	-il	-el	-il
evidential participle	<X>er	<X>er	<X>er	<X>er	<X>ver	<X>ver	<X>at͡ser	<X>at͡ser	<X>er, <X>ut͡ser	<X>er, <X>ut͡ser	<X>t͡sut͡ser	<X>t͡sut͡ser	<X>t͡sut͡ser	<X>t͡sut͡ser	<X>er	<X>er	<X>er	<X>er			<X>t͡ser	<X>t͡ser	<X>ver	<X>ver	<X>er	<X>er	<X>er	<X>er	<Xpst>er	<Xpst>er	<X>er		<X>t͡ser						<Xpst>er	<Xpst>er	<X>at͡ser	<Xpst>er	<X>er	<X>er	<Xpst>er	<Xpst>er	<X>er	<Xpst>er	<Xpst>er	<X>er	<Xpst>at͡ser	<Xpst>er	<X>er	<X>er	<Xpst>er	<X>er	<Xprs>er	<Xpst>er	<X>er	<X>t͡ser	<X>at͡ser	<X>er	<Xpst>er	<Xpst>er
future participle	<X>elu	<X>elu	<X>elu	<X>elu	<X>velu	<X>velu	<X>alu	<X>alu	<X>elu	<X>elu	<X>t͡snelu	<X>t͡snelu	<X>t͡sənelu	<X>t͡snelu	<X>anelu	<X>anelu	<X>nelu	<X>nelu	<X>t͡ʃelu	<X>t͡ʃelu	<X>nalu	<X>nalu	<X>nelu	<X>nelu	<X>nalu	<X>nelu	<X>nalu	<X>nelu	<Xprs>alu	<Xprs>elu	<X>t͡ʃelu	<X>nalu		<X>elu					<Xprs>alu	<Xprs>alu	<X>alu	<Xprs>alu	<X>elu	<X>elu	<Xprs>alu	<Xprs>alu	<X>nelu	<Xprs>alu	<Xprs>elu	<X>elu	<Xprs>alu	<Xprs>elu	<X>elu	<X>elu	<Xprs>elu	<X>elu	<Xprs>nelu	<Xprs>alu	<X>nelu	<X>alu	<X>alu	<X>elu	<Xprs>elu	<Xprs>elu
