Class number	Class 1	Class 2	Class 3	Class 4	Class 3	Class 4	Class 5	Class 6	Class 7	Class 8	Class 9	Class 10	Class 9	Class 10	Class 11	Class 12	Class 13	Class 14	Class 15	Class 16	Class 19	Class 20	Class 21	Class 22	Class 23	Class 23	Class 24	Class 24	Class 25	Class 25	Class 26	Class 27	Class 27	Class 28	Class 29	Class 30	Class 31	Class 32	Class 33	Class 34	Class 35	Class 36	Class 37	Class 38	Class 39	Class 40	Class 41	Class 42	Class 43	Class 44	Class 45	Class 46	Class 47	Class 48	Class 49	Class 50	Class 51	Class 52	Class 53	Class 54	Class 55	Class 56	Class 57	Class 58
Subclass			Basic	Basic	Passive	Passive					Basic	Basic	Orthographic variant with schwa	Orthographic variant with affricate											Theme -a-	Theme -e-	Theme -a-	Theme -e-	Theme -a-	Theme -e-		Long form	Short form																															
Regularity	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Archaic	Archaic	Regular	Regular	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Defective	Defective	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive	Irregular	Defective	Defective	Defective	Defective	Defective	Defective	Defective	Suppletive	Suppletive	Irregular	Suppletive	Irregular	Irregular	Suppletive	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Irregular	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive
Initial segment	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	V	C	C	V	V	C	C	C	V	V	C	C	V	V	C	C	C	V	C	V	C	V	C	C	C	V	C	C	V	V	V	C	V	C	C	C	C	V	C
Regular category	E-Class	E-Class	I-Class	I-Class	Passive	Passive	A-Class	A-Class			Causative	Causative	Causative	Causative							Inchoative	Inchoative																																										
Example lemma	երգել	քաղել	ապրիլ	խօսիլ	ածիլուիլ	զզուիլ	աղալ	կարդալ	արտահեղուլ	թողուլ	աճեցնել	մօտեցնել	անցընել	դարձնել	ուսուցանել	ծանուցանել	անցնիլ	մեռնիլ	երկնչիլ	կպչիլ	ամչնալ	նիհարնալ	երդնուլ	զբօսնուլ	իջնալ	իջնել	գտնալ	գտնել	ելլալ	ելլել	դպչիլ	կարենալ	կրնամ	երեւիլ	ունիմ	գիտեմ	կամ	եմ	ըլլալ	գալ	լալ	տալ	արտաբերել	բերել	անդրադառնալ	դառնալ	առնել	բանալ	դնել	դպիլ	երթալ	զարնել	զիջիլ	ընդունիլ	ընել	ըսել	թքնել	իյնալ	խածնել	խաղալ	մնալ	նստիլ	ուտել	տանիլ
Example stem	<X> = երգ	<X> = քաղ	<X> = ապր	<X> = խօս	<X> = ածիլ	<X> = զզ	<X> = աղ	<X> = կարդ	<X> = արտահեղ	<X> = թող	<X> = աճե	<X> = մօտե	<X> = ան	<X> = դար	<X> = ուսուց	<X> = ծանուց	<X> = անց	<X> = մեռ	<X> = երկն	<X> = կպ	<X> = ամչ	<X> = նիհար	երդ	զբօս	<X> = իջ	<X> = իջ	<X> = գտ	<X> = գտ	<Xprs> = ելլ, <Xpst> = ել	<Xprs> = ելլ, <Xpst> = ել	<X> = դպ	<X> = կարե	<X> = կր	<X> = երեւ	<X> = ուն	<X> = գիտ	<X> = կ	ե	<Xprs> = ըլլ, <Xst> = եղ	<Xprs> = գ, <Xst> = եկ	<X> = լ	<Xprs> = տ, <Xpst> = տու	<X> = արտաբեր	<X> = բեր	<Xprs> = անդրադառն, <Xpst> = անդրադարձ	<Xprs> = դառն, <Xpst> = դարձ	<X> = առ	<Xprs> = բան, <Xpst> = բաց	<Xprs> = դն, <Xpst> = դր, <Ximp> = դ	<X> = դպ	<Xprs> = երթ, <Xpst> = գ, <Xps3> = գն	<Xprs> = զարն, <Xpst> = զարկ	<X> = զիջ	<X> = ընդուն	<Xprs> = ըն, <Xpst> = ըր	<X> = ըս	<Xprs> = թք, <Ximp> = թուք	<Xprs> = իյն, <Xpst> = ինկ	<X> = խած	<X> = խաղ	<X> = մն	<X> = նստ	<Xprs> = ուտ, <Xpst> = կեր	<Xprs> = տան, <Xpst> = տար
Affix	-ել	-ել	-իլ	-իլ	-ուիլ	-ուիլ	-ալ	-ալ	-ուլ	-ուլ	-ցնել	-ցնել	-ցընել	-ձնել	-անել	-անել	-նիլ	-նիլ	-չիլ	-չիլ	-նալ	-նալ	-նուլ	-նուլ	-նալ	-նել	-նալ	-նել	-ալ	-ել	-չիլ	-նալ	-նամ	-իլ	-իմ	-եմ	-ամ	-մ	-ալ	-ալ	-ալ	-ալ	-ել	-ել	-ալ	-ալ	-նել	-ալ	-ել	-իլ	-ալ	-ել	-իլ	-իլ	-ել	-ել	-նել	-ալ	-նել	-ալ	-ալ	-իլ	-ել	-իլ
evidential participle	<X>եր	<X>եր	<X>եր	<X>եր	<X>ուեր	<X>ուեր	<X>ացեր	<X>ացեր	<X>եր, <X>ուցեր	<X>եր, <X>ուցեր	<X>ցուցեր	<X>ցուցեր	<X>ցուցեր	<X>ձուցեր	<X>եր	<X>եր	<X>եր	<X>եր			<X>ցեր	<X>ցեր	<X>ուեր	<X>ուեր	<X>եր	<X>եր	<X>եր	<X>եր	<Xpst>եր	<Xpst>եր	<X>եր		<X>ցեր						<Xpst>եր	<Xpst>եր	<X>ացեր	<Xpst>եր	<X>եր	<X>եր	<Xpst>եր	<Xpst>եր	<X>եր	<Xpst>եր	<Xpst>եր	<X>եր	<Xpst>ացեր	<Xpst>եր	<X>եր	<X>եր	<Xpst>եր	<X>եր	<Xprs>եր	<Xpst>եր	<X>եր	<X>ցեր	<X>ացեր	<X>եր	<Xpst>եր	<Xpst>եր
future participle	<X>ելու	<X>ելու	<X>ելու	<X>ելու	<X>ուելու	<X>ուելու	<X>ալու	<X>ալու	<X>ելու	<X>ելու	<X>ցնելու	<X>ցնելու	<X>ցընելու	<X>ձնելու	<X>անելու	<X>անելու	<X>նելու	<X>նելու	<X>չելու	<X>չելու	<X>նալու	<X>նալու	<X>նելու	<X>նելու	<X>նալու	<X>նելու	<X>նալու	<X>նելու	<Xprs>ալու	<Xprs>ելու	<X>չելու	<X>նալու		<X>ելու					<Xprs>ալու	<Xprs>ալու	<X>ալու	<Xprs>ալու	<X>ելու	<X>ելու	<Xprs>ալու	<Xprs>ալու	<X>նելու	<Xprs>ալու	<Xprs>ելու	<X>ելու	<Xprs>ալու	<Xprs>ելու	<X>ելու	<X>ելու	<Xprs>ելու	<X>ելու	<Xprs>նելու	<Xprs>ալու	<X>նելու	<X>ալու	<X>ալու	<X>ելու	<Xprs>ելու	<Xprs>ելու
