Particles		
Proh	մի	exclamation mark is added on the particle
Fut	պիտի	
Neg	չ	no space between negative prefix and following item
Synthetic negative auxilary		
Present 1SG	չեմ	
Present 2SG	չես	no space between synthetic negative and verb
Present 3SG (before vowel)	չ'	
Present 3SG (before consonant	չի	
Present 1PL	չենք	
Present 2PL	չէք	
Present 3PL	չեն	
Past imperfective 1SG	չէի	
Past imperfective 2SG	չէիր	
Past imperfective 3SG	չէր	
Past imperfective 1PL	չէինք	
Past imperfective 2PL	չէիք	
Past imperfective 3PL	չէին	
Short auxiliary		
Lemma	է	
Conjugation class	32	
Long auxiliary		
Lemma	ըլլալ	
Conjugation class	33	
